Gender,Norwegian ,Class,Grammatical Form ,English ,
,• Hun hjelper deg.,,,,• She helps you.
,deg,,"pron., refl.",,yourself
,• Du må skynde deg.,,,,• You must hurry (yourself).
,deilig,,adj.,"deilig, deilige",delicious; wonderful
å,dekke,,verb,"dekker, dekket, har dekket",set; cover
,• dekke bordet,,,,• set the table
å,dele,,verb,"deler, delte, har delt","share, divide, split"
,• dele en pizza,,,,• share a pizza
,• dele rom med,,,,• share a room with
å,delta,,verb,"deltar, deltok, har deltatt",participate
en,deltaker,,noun,"deltakeren, deltakere, deltakerne",participant
ei/en,deltid,,noun,deltiden,part-time
,delvis,,adj./adv.,,"partial; partially, partly"
,dem,,"pron., obj.",,them
,demonstrativ,,adj.,"demonstrativ, demonstrativt, demonstrativene",demonstrative
,• Hun liker dem.,,,,• She likes them.
,den,,"det., art.",,the (with en/ei nouns + adj.)
,• Vi liker den røde bilen.,,,,• We like the red car.
,den,,"det., dem.",,that (with en/ei. nouns)
,• Vil du ha den genseren?,,,,• Would you like that sweater?
,den,,pron.,pers. pron.,it (replaces en/ei nouns)
,• Bilen er fin. Jeg liker den.,,,,• The car is nice. I like it.
ei/en,Den norske kirke,,noun,-kirka/kirken,the Norwegian State Church
,denne,,"det., dem.",,this (with en/ei nouns)
,• Kjenner du denne jenta?,,,,• Do you know this girl?
en,depresjon,,noun,"depresjonen, depresjoner, depresjonene",depression
,deprimert,,adj.,"deprimert, deprimerte",depressed
,der,,adv.,"der (with location), dit (with motion)",there
,• Hun er der nå.,,,,• She is there now.
,• Han drar dit om en time.,,,,• He is going there in an hour.
,dere,,"pron., subj.",,"you all, y'all, you (plural)"
,• Dere snakker norsk.,,,,• You (all) speak Norwegian.
,deres,,"det., poss.",,your (plural)
,• Hvor er huset deres?,,,,• Where is your house?
,deres,,"det., poss.",,their
,• Hytta deres er ny.,,,,Their cabin is new.
,deretter,,adv.,,"after that, then"
,derfor,,adv.,,therefore
,derimot,,adv.,,on the other hand
,desember,,noun,,December
en,dessert,,noun,"desserten, desserter, dessertene",dessert
,dessuten,,adv.,,besides; in addition
,dessverre,,adv.,,unfortunately
,det,,"det., art.",,the (with et-nouns + adj.)
,• Vi liker det nye huset.,,,,• We like the new house.
,det,,"det., dem.",,that (with et nouns)
,• Vi heiste det flagget.,,,,• We raised that flag
,det,,"pron., sub./obj.",,it (replaces et nouns)
,• Jeg har et eple. Det er rødt.,,,,• I have an apple. It is red.
et,determinativ,,noun,"determinativet, determinativ/determinativer, determinativene","determinative, determiner"
,dette,,"det., dem.",,this (with neuter nouns)
en,detalj,,noun,"detaljen, detaljer, detaljene",detail
,• Jeg vil ha dette slipset.,,,,• I would like this tie.
å,dette,,verb,"detter, datt, har dettet",fall
en,diabetes,,noun,diabetesen,diabetes
en,dialekt,,noun,"dialekten, dialekter, dialektene",dialect
en,diaré,,noun,"diaréen, diaréer, diaréene",diarrhea
en,diftong,,noun,"diftongen, diftonger, diftongene",diphthong
et,digitalkamera,,noun,"digitalkameraet, digitalkameraer, digitalkameraene",digital camera
en,dikter,,noun,"dikteren, diktere, dikterne","poet, writer"
,din,,"det., poss.","di, ditt, dine",your (singular)
,• Hva heter læreren din?,,,,• What is your teacher's name?
,direkte,,adj./adv.,"direkte, direkte",direct; directly
en,direktør,,noun,"direktøren, direktører, direktørene",manager
et,diskotek,,noun,"diskoteket, diskoteker, diskotekene",discotheque; bar with dancing
,disse,,"det., dem.",,these (with pl. nouns)
,• Jeg tar disse skoene.,,,,• I will take these shoes.
et,distrikt,,noun,"distriktet, distriker, distrikene","region, district of Norway"
et,distriktspolitikk,,noun,distriktspolitikken,regional policy
en/et,do,,noun,"doen/doet, doer/do, doene",toilet
et,dopapir,,noun,dopapiret,toilet paper
et,dobbeltrom,,noun,"dobbeltrommet, dobbeltrom, dobbeltrommene",a double room
en,dollar,,noun,"dollaren, dollar, dollarene",American dollar
ei/en,domkirke,,noun,"domkirka/domkirken, domkirker, domkirkene",cathedral
ei/en,dongeribukse,,noun,"dongeribuksa/-buksen, dongeribukser, dongeribuksene",jeans
et,dongeriskjørt,,noun,"dongeriskjørtet, dongeriskjørt, dongeriskjørtene",jean skirt
å,dra,,verb,"drar, dro, har dratt","go, leave"
,• dra hjem,,,,• go home
,• dra på biltur,,,,• go on a car trip
,• dra på båttur,,,,• go on a boat trip
,• dra på campingtur,,,,• go camping
,• dra på ferie,,,,• go on vacation
,• dra på fisketur,,,,• go on a fishing trip
,• dra på fjellet,,,,• go to the mountains
,• dra på hyttetur,,,,• go on a cabin trip
,• dra på jobben,,,,• go to work
,• dra på kajakktur,,,,• go on a kayak trip
,• dra på kanotur,,,,• go on a canoe trip
,• dra på piknik,,,,• go on a picnic
,• dra på seiltur,,,,• go sailing
,• dra på sykkeltur,,,,• go on a bike ride
,• dra til universitetet,,,,• go to the university
,• dra til utlandet,,,,• go abroad
en,drabantby,,noun,"drabantbyen, drabantbyer, drabantbyene","satellite city, suburb"
å,drepe,,verb,"dreper, drepte, har drept",kill
en,dress,,noun,"dressen, dresser, dressene",suit
å,drible,,verb,"dribler, driblet, har driblet",dribble in soccer or basketball
å,drikke,,verb,"drikker, drakk, har drukket",drink
,• drikke kaffe,,,,• drink coffee
ei/en,drikkevare,,noun,"drikkevaren, drikkevarer, drikkevarene",drink
ei/en,drikking,,noun,drikkinga/drikkingen,drinking
å,drive,,verb,"driver, drev, har drevet","do, participate in"
,• drive en forretning,,,,• manage a store
,• drive med friidrett,,,,• participate in track
,• drive med friluftsliv,,,,• participate in outdoor life
,• drive med idrett,,,,• participate in sports
,• drive med styrketrening,,,,• do strength training
ei/en,dronning,,noun,"dronninga/dronningen, dronninger, dronningene",queen
,• dronning Sonja,,,,• Queen Sonja
ei/en,drosje,,noun,"drosja/drosjen, drosjer, drosjene",taxi
en,drosjesjåfør,,noun,"drosjesjåføren, drosjesjåfører, drosjesjåførene",taxi driver
ei/en,drue,,noun,"drua/druen, druer, druene",grape
å,drømme,,verb,"drømmer, drømte, har drømt",dream
en,drømmeferie,,noun,"drømmeferien, drømmeferier, drømmeferiene",dream vacation
,du,,"pron., sub.",,you (singular)
,• Liker du musikk?,,,,• Do you like music?
en,duk,,noun,"duken, duker, dukene",tablecloth
,dum,,adj.,"dumt, dumme",dumb
en,dusj,,noun,"dusjen, dusjer, dusjene",shower
en,DVD,,noun,"DVD-en, DVD-er, DVD-ene",DVD
en,DVD-spiller,,noun,"DVD-spilleren, DVD-spillere, DVD-spillerne",DVD player
å,dykke,,verb,"dykker, dykket, har dykket",scuba dive
ei/en,dyne,,noun,"dyna/dynen, dyner, dynene",down comforter
,dyp,,adj./adv.,"dypt, dype",deep; deeply
å,dyppe,,verb,"dypper, dyppet, har dyppet",dip
,dyr,,adj.,"dyrt, dyre",expensive
et,dyr,,noun,"dyret, dyr, dyrene",animal
en,dyrepark,,noun,"dyreparken, dyreparker, dyreparkene",zoo
en,dyrepleier,,noun,"dyrepleieren, dyrepleiere, dyrepleierne",vet technician
å,dyrke,,verb,"dyrker, dyrket, har dyrket","cultivate, raise"
,• dyrke en hobby,,,,• pursue a hobby
,• dyrke mais,,,,• grow corn
å,dø,,verb,"dør, døde, har dødd",die
et,døgn,,noun,"døgnet, døgn, døgnene",24-hour period
,• døgnet rundt,,,,"• all day and night,
around the clock"
å,døpe,,verb,"døper, døpte, har døpt",baptize
ei/en,dør,,noun,"døra/døren, dører, dørene",door
en,dåp,,noun,"dåpen, dåper, dåpene",baptism
,dårlig,,adj.,"dårlig, dårlige","bad, poor"
,• dårlig betalt,,,,• poorly paid
,,,,,
,,,,,
,,,,,
e-post,,noun,"e-posten, e-poster, e-postene",e-mail,
,egen,,adj.,"eget, egne",own
,• Jeg har min egen bil.,,,,• I have my own car.
,egentlig,,adj./adv.,"egentlig, egentlige","actual, real; actually, really"
et,egg,,noun,"egget, egg, eggene",egg
ei/en,eggerøre,,noun,"eggerøra/eggerøren, eggerører, eggerørene",scrambled eggs
,Egypt,,noun,,Egypt
en,egypter,,noun,"egypteren, egyptere, egypterne",person from Egypt
,egyptisk,,adj.,"egyptisk, egyptiske",Egyptian
å,eie,,verb,"eier, eide, har eid",own
en,eiendomsmegler,,noun,"eiendomsmegleren, eiendomsmeglere, eiendomsmeglerne",real estate agent
et,eiendomsord,,noun,"eiendomsordet, eiendomsord, eiendomsordene",possessives
en,eier,,noun,"eieren, eiere, eierne",owner
et,eksempel,,noun,"eksempelet, eksempler, eksemplene",example
,• for eksempel,,,,• for example
,eksotisk,,adj.,"eksotisk, eksotiske",exotic
å,ekspedere,,verb,"ekspederer, ekspederte, har ekspedert",wait on in a store
en,ekspeditør,,noun,"ekspeditøren, ekpeditører, ekspeditørene","store clerk, shop assistant"
en,ekspert,,noun,"eksperten, eksperter, ekspertene",expert
en,eksport,,noun,"eksporten, eksporter, eksportene",export
å,eksportere,,verb,"eksporterer, eksporterte, har eksportert",export
en,eksportør,,noun,"eksportøren, eksportører, eksportørene",exporter
en,ektefelle,,noun,"ektefellen, ektefeller, ektefellene",spouse
et,ektepar,,noun,"ekteparet, ektepar, ekteparene",married couple
et,ekteskap,,noun,"ekteskapet, ekteskap, ekteskapene",marriage
,eldre,,adj.,comparative of “gammel”,older
,eldst,,adj.,superlative of “gammel”,oldest
en,elektriker,,noun,"elektrikeren, elektrikere, elektrikerne",electrician
en,elektrisitet,,noun,"elektrisiteten, elektrisiteter, elektrisitetene",electricity
et,elektrofag,,noun,"elektrofaget, elektrofag, elektrofagene",electrical engineering class
,elektronisk,,adj.,"elektronisk, elektroniske",electronic
,elendig,,adj.,"elendig, elendige",terrible
en,elev,,noun,"eleven, elever, elevene",elementary or secondary school student
et,elevråd,,noun,"elevrådet, elevråd, elevrådene",student council
,eller,,"conj., coord.",,or
,ellers,,adv.,,otherwise
,elleve,,"det., quan.",,eleven
,ellevte,,"adj., ord.",,eleventh
å,elske,,verb,"elsker, elsket, har elsket",love
,• jeg elsker deg,,,,• I love you
ei/en,elv,,noun,"elva/elven, elver, elvene",a river
ei/en,elvepadling,,noun,elvepadlinga/elvepadlingen,whitewater kayaking in river
,en,,"det., art.",,a/an
,• Jeg vil ha en cola.,,,,• I would like a coke.
,en,,pron.,,one (a person)
,• En skal ikke tro alt.,,,,"• One shouldn't believe
everything."
,én,,"det., quant.",,one (number)
å,ende,,verb,"ender, endte, har endt",end
,• ende godt,,,,• end well
,endelig,,adj./adv.,"endelig, endelige",final; finally
,endeløs,,adj.,"endeløst, endeløse",endless
en,enebolig,,noun,"eneboligen, eneboliger, eneboligene",single family home
en,energi,,noun,energien,energy
,energisk,,adj./adv.,"energisk, energiske",energetic; energetically
,engasjerende,,adj.,"engasjerende, engasjerende",engaging
,engelsk,,adj.,"engelsk, engelske",English
en,engelsk,,noun,engelsken,English language
en,engelskmann,,noun,"engelskmannen, engelskmenn, engelskmennene",person from England
,England,,noun,,England
en,englender,,noun,"englenderen, englendere, englenderne",person from England
,enig,,adj.,"enig, enige",in agreement
ei/en,enke,,noun,"enka/enken, enker, enkene",widow
,enkel,,adj.,"enkelt, enkle",simple
et,enkeltrom,,noun,"enkeltrommet, enkeltrom, enkeltrommene",single room
,enn,,prep.,,than
,• Jeg er eldre enn deg.,,,,• I am older than you.
,ennå,,adv.,,"yet, still"
,enslig,,adj.,"enslig, enslige",single
,ensom,,adj.,"ensomt, ensomme",lonely
,entall,,noun,,singular
,enten,,"conj., coord.",,either
en,entré,,noun,"entréen, entréer, entréene",entryway
,entusiastisk,,adj./adv.,"entusiastisk, entusiastiske","enthusiastic, enthusiasticly"
et,eple,,noun,"eplet, epler, eplene",apple
,er,,verb,"present tense of ""være""","am, is, are"
ei/en,ert,,noun,"erta/erten, erter, ertene",pea
en,espresso,,noun,"espressoen, espressoer, espressoene",espresso
en,etasje,,noun,"etasjen, etasjer, etasjene","story, floor"
en,etikk,,noun,etikken,ethics
,Etiopia,,noun,,Ethiopia
en,etiopier,,noun,"etiopieren, etiopiere, etiopierne",person from Ethiopia
,etiopisk,,adj.,"etiopisk, etiopiske",Ethiopian
,etnisk,,adj.,"etnisk, etniske",ethnic
,etter,,prep.,,after
,• Jeg skal løpe etter timen.,,,,• I will run after class.
,etter at,,"conj., sub.",,after
,"• Vi skal dra
etter at han har spist.",,,,"• We will leave
after he has eaten."
en,ettermiddag,,noun,"ettermiddagen, ettermiddager, ettermiddagene",afternoon
et,etternavn,,noun,"etternavnet, etternavn, etternavnene",last name
,etterpå,,adv.,,afterwards
,• Jeg skal hjem etterpå.,,,,• I'm going home afterwards.
,EU (Den europeiske union),,noun,,European Union
en,euro,,noun,"euroen, euroer, euroene",Euro
,Europa,,noun,,Europe
en,europeer,,noun,"europeeren, europeere, euopeerne",person from Europe
,europeisk,,adj.,"europeisk, europeiske",European
ei/en,evne,,noun,"evna/evnen, evner, evnene",ability
,,,,,
,,,,,
,,,,,
en,fabrikk,,noun,"fabrikken, fabrikker, fabrikkene",factory
en,fabrikkarbeider,,noun,"fabrikkarbeideren, fabrikkarbeidere, fabrikkarbeiderne",factory worker
en,fadder,,noun,"fadderen, faddere, fadderne","baptismal sponsor, godparent"
et,fag,,noun,"faget, fag, fagene",school subject
,faktisk,,adv.,,as a matter of fact
å,falle,,verb,"faller, falt, har falt",fall
,• falle for,,,,• fall for
ei/en,fallskjermhopping,,noun,fallskjermhoppinga/fallskjermhoppingen,parachute jumping
en,familie,,noun,"familien, familier, familiene",family
et,fang,,noun,"fanget, fang, fangene",lap
,fantastisk,,adj.,"fantastisk, fantastiske",fantastic
en,far,,noun,"faren, fedre, fedrene",father
en,farfar,,noun,"farfaren, farfedre, farfedrene",paternal grandfather
en,farge,,noun,"fargen, farger, fargene",color
,farlig,,adj.,"farlig, farlige",dangerous
ei/en,farmor,,noun,"farmora/farmoren, farmødre, farmødrene",paternal grandmother
,fascinerende,,adj.,"fascinerende, fascinerende",fascinating
en,fasit,,noun,"fasiten, fasiter, fasitene",answer key
en,fasong,,noun,"fasongen, fasonger, fasongene","cut, style of clothes"
,fast,,adj.,"fast, faste","permanent, steady, fixed"
,• fast jobb,,,,• a steady job
,• faste uttrykk,,,,• fixed expressions
en,favoritt,,noun,"favoritten, favoritter, favorittene",favorite
ei/en,favorittbok,,noun,"favorittboka, favorittbøker, favorittbøkene",favorite book
en,favorittfilm,,noun,"favorittfilmen, favorittfilmer, favorittfilmene",favorite film
en,feber,,noun,"feberen, febere, feberne",fever
,februar,,noun,,February
en,fedme,,noun,fedmen,obesity
en,fedrekvote,,noun,"fedrekvoten, fedrekvoter, fedrekvotene",father's share of parental leave
en,feil,,noun,"feilen, feil, feilene",mistake
å,feile,,verb,"feiler, feilet, har feilet",be wrong with
å,feire,,verb,"feirer, feiret, har feiret",celebrate
,• feire jul,,,,• celebrate Christmas
ei/en,feiring,,noun,"feiringa/feiringen, feiringer, feiringene",celebration
ei/en,fele,,noun,"fela/felen, feler, felene",fiddle
,felles,,adj.,"felles, felles","common, joint, collective"
,• felles venner,,,,• common friends
en,fellesferie,,noun,"fellesferien, fellesferier, fellesferiene",July summer vacation
,fem,,"det., quan.",,five
en,femhundrelapp,,noun,"femhundrelappen, femhundrelapper, femhundrelappene",500-crown bill
en,femmer,,noun,"femmeren, femmere, femmerne",5-crown coin
,femte,,"adj., ord.",,fifth
,femten,,"det., quan.",,fifteen
,femtende,,"adj., ord.",,fifteenth
,femti,,"det., quan.",,fifty
,femtiende,,"adj., ord.",,fiftieth
en,femtilapp,,noun,"femtilappen, femtilapper, femtilappene",50-crown bill
,ferdig,,adj.,"ferdig, ferdige",finished
en,ferie,,noun,"ferien, ferier, feriene",vacation
,• dra/reise på ferie,,,,• go on vacation
et,ferieland,,noun,"ferielandet, ferieland, ferielandene",vacation country
et,ferieområde,,noun,"ferieområdet, ferieområder, ferieområdene",vacation area
ei/en,ferje,,noun,"ferja/ferjen, ferjer, ferjene",ferry boat
,fersk,,adj.,"ferskt, ferske",fresh
en,fersken,,noun,"ferskenen, ferskener, ferskenene",peach
en,fest,,noun,"festen, fester, festene",party
en,festival,,noun,"festivalen, festivaler, festivalene",festival
ei/en,festning,,noun,"festninga/festningen, festninger, festningene",fortress
et,festplagg,,noun,"festplagget, festplagg, festplaggene","festive garment, clothing"
,fet,,adj.,"fett, fete","fatty, greasy; fat"
en,fetter,,noun,"fetteren, fettere, fetterne",male cousin
en,figur,,noun,"figuren, figurer, figurene","graphic illustration; figure, form"
ei/en,fille,,noun,"filla/fillen, filler, fillene",rag
en,film,,noun,"filmen, filmer, filmene","movie, film"
en,filosofi,,noun,"filosofien, filosofier, filosofiene",philosophy
,fin,,adj./adv.,"fint, fine","fine, good"
en,finger,,noun,"fingeren, fingre/fingrer, fingrene",finger
,Finland,,noun,,Finland
å,finne,,verb,"finner, fant, har funnet",find
å,finnes,,verb,"finnes, fantes, har funnes",exist
,• det finnes,,,,• it exists
,finsk,,adj.,"finsk, finske",Finnish
en,finsk,,noun,finsken,Finnish language
,fiolett,,adj.,"fiolett, fiolette",violet
et,fippskjegg,,noun,"fippskjegget, fippskjegg, fippskjeggene",goatee
,fire,,"det., quan.",,four
et,firma,,noun,"firmaet, firmaer, firmaene","company, business"
